blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,n_observed,n_submitted,n_positive_commit,n_zero_commit,n_no_submission,n_inconsistent,n_tps_valid,n_tps_censored,n_tps_point_valid,n_latency_valid,n_energy_valid_observed,n_energy_valid_positive_commit,n_network_valid_observed,service_regime_derived,panel_row,panel_column,matrix_row,matrix_column,display_count
Ethereum,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,1,0,13/0/0
Ethereum,full mesh,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,0,1,1,13/0/0
Ethereum,full mesh,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,1,1,13/0/0
Ethereum,full mesh,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,0,1,3,13/0/0
Ethereum,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,1,3,13/0/0
Ethereum,full mesh,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,0,1,2,13/0/0
Ethereum,full mesh,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,1,2,13/0/0
Ethereum,full mesh,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,0,1,4,13/0/0
Ethereum,full mesh,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,1,4,13/0/0
Ethereum,full mesh,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,0,1,5,13/0/0
Ethereum,full mesh,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,1,5,13/0/0
Ethereum,hypercube,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,0,2,0,13/0/0
Ethereum,hypercube,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,2,0,13/0/0
Ethereum,hypercube,FIFA,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,2,0,2,1,12/0/0
Ethereum,hypercube,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,2,1,13/0/0
Ethereum,hypercube,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,0,2,3,13/0/0
Ethereum,hypercube,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,2,3,13/0/0
Ethereum,hypercube,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,0,2,2,13/0/0
Ethereum,hypercube,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,2,2,13/0/0
Ethereum,hypercube,PayPal,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit,2,0,2,4,14/0/0
Ethereum,hypercube,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,2,4,13/0/0
Ethereum,hypercube,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,0,2,5,13/0/0
