scope,blockchain,metric,n_observations,n_configurations,icc,between_configuration_variance,within_configuration_variance,converged,warnings,ci_lower,ci_upper,icc_ci_lower,icc_ci_upper,between_configuration_variance_ci_lower,between_configuration_variance_ci_upper,within_configuration_variance_ci_lower,within_configuration_variance_ci_upper,bootstrap_repetitions,bootstrap_converged,bootstrap_failures,seed
legacy_three_workloads,Algorand,Energy,391,30,0.680367419997049,0.04193546993778988,0.019701035140557016,True,[],0.581527466484041,0.7227891274669533,0.581527466484041,0.7227891274669533,0.02745624142029996,0.0498547229715768,0.016723652859050638,0.022643138069306543,1000,1000,0,20260903
legacy_three_workloads,Algorand,Latency,391,30,0.8932034733322548,0.18974145303120543,0.022686575627641033,True,[],0.8331839296485706,0.9322960197987898,0.8331839296485706,0.9322960197987898,0.11960978514460376,0.25758591560411925,0.013652802016069778,0.03349444486734294,1000,1000,0,20260902
legacy_three_workloads,Algorand,TPS,391,30,0.8574724246496941,0.39223304369761464,0.06519629446198254,True,[],0.7618058646795819,0.9265232345314454,0.7618058646795819,0.9265232345314454,0.24233460454467648,0.5166996063606754,0.026570205804320304,0.11919713238745633,1000,1000,0,20260901
legacy_three_workloads,Diem,Energy,415,30,0.6596426920633763,0.03913095754322402,0.020190487254142804,True,[],0.5536835364910035,0.7207383083480567,0.5536835364910035,0.7207383083480567,0.025128030354052394,0.04632146890636489,0.01597474369680175,0.024693821587726802,1000,1000,0,20260906
legacy_three_workloads,Diem,Latency,415,30,0.9575273221739937,1.2164049682111486,0.053955615807898184,True,[],0.8934137511754965,0.989906295475649,0.8934137511754965,0.989906295475649,0.6686064834664291,1.6213575449257358,0.012891952926823352,0.11907439152418645,1000,1000,0,20260905
legacy_three_workloads,Diem,TPS,415,30,0.7647591384235755,0.10914376962151066,0.03357275920152832,True,[],0.5076620554506903,0.9169987872039039,0.5076620554506903,0.9169987872039039,0.030538716558258763,0.16655440761049833,0.011073780415684699,0.0643753503167124,1000,1000,0,20260904
legacy_three_workloads,Ethereum,Energy,398,30,0.6420864649711915,0.04194378596945071,0.023380416077593842,True,[],0.5183756716638925,0.6937334947988755,0.5183756716638925,0.6937334947988755,0.024601641915076976,0.050412885310677225,0.01917690794545927,0.02824159394597877,1000,1000,0,20260909
legacy_three_workloads,Ethereum,Latency,398,30,0.8569039451986041,0.044709910292198084,0.007466194792527245,True,[],0.7882373363755134,0.8920891257978746,0.7882373363755134,0.8920891257978746,0.03008622533236463,0.05359196216810661,0.005227311009162321,0.010144251957669808,1000,1000,0,20260908
legacy_three_workloads,Ethereum,TPS,398,30,0.6439211592257952,0.04017570459993367,0.022216568156311938,True,[],0.0,0.7639473813851626,0.0,0.7639473813851626,0.0,0.05473076467427217,0.014082484932373372,0.032381787651724454,1000,1000,0,20260907
legacy_three_workloads,Quorum,Energy,325,30,0.6775838318441733,0.04424985612910367,0.02105550395994874,True,[],0.5641851141783123,0.7278644660249058,0.5641851141783123,0.7278644660249058,0.027419224727158954,0.05311989491634596,0.017877601961392955,0.024571942183656537,1000,1000,0,20260912
legacy_three_workloads,Quorum,Latency,325,30,0.6847501949303487,1.2131653607022548,0.5585250596643363,True,[],0.47432900142173634,0.810369354245377,0.47432900142173634,0.810369354245377,0.5712723402025539,1.5282612037613095,0.33629858818658903,0.8362534678273813,1000,1000,0,20260911
legacy_three_workloads,Quorum,TPS,319,30,0.8444555291490589,3.347681502573353,0.6166261335513641,True,[],0.7763285817326754,0.8879682550398811,0.7763285817326754,0.8879682550398811,2.4918583135680663,3.9481569160711296,0.37286511475144,0.9081922121928956,1000,1000,0,20260910
legacy_three_workloads,Solana,Energy,241,24,0.7310797205473917,0.053108803161816376,0.019535535983648458,True,[],0.6590100289437804,0.7825704759605164,0.6590100289437804,0.7825704759605164,0.03813295864352934,0.06380426851406741,0.015112895601447594,0.023593278972359123,1000,1000,0,20260915
legacy_three_workloads,Solana,Latency,241,24,0.7727456651588152,0.23014147264331636,0.06768157964907993,True,[],0.0,0.8933464882953341,0.0,0.8933464882953341,0.0,0.38541831681160604,0.03552468564949089,0.10811508404641773,1000,1000,0,20260914
legacy_three_workloads,Solana,TPS,241,24,0.9108474440381844,2.603972725827602,0.2548734430577756,True,[],0.8050109983081426,0.9529784726557496,0.8050109983081426,0.9529784726557496,1.3690902137256484,3.448210573876744,0.14667525490453612,0.40350117650312683,1000,1000,0,20260913
six_workloads,Algorand,Energy,787,60,0.8536835367543684,0.13816499148486872,0.023680687313342816,True,[],0.8246477147692467,0.8720920189311401,0.8246477147692467,0.8720920189311401,0.11103937991332564,0.1566505158686052,0.021237522483681992,0.026285252413098533,1000,1000,0,20260918
six_workloads,Algorand,Latency,787,60,0.9073395561235059,0.44947417074056706,0.04590175297743868,True,[],0.8509565178716564,0.9422083969444963,0.8509565178716564,0.9422083969444963,0.33416922569927554,0.5483404063416716,0.030195350739259757,0.0660034719996087,1000,1000,0,20260917
six_workloads,Algorand,TPS,787,60,0.7177589262137287,0.6568810670009937,0.2583023504538422,True,[],0.5980337481828341,0.8268463669870105,0.5980337481828341,0.8268463669870105,0.47010442416123305,0.8508216743041904,0.12318594238366024,0.4427759836618902,1000,1000,0,20260916
six_workloads,Diem,Energy,822,60,0.8569162422976121,0.13410306558546595,0.02239188568993673,True,[],0.8203588575515789,0.8807406848299859,0.8203588575515789,0.8807406848299859,0.10665305974171947,0.15261373007806503,0.01903237092420598,0.026188943793432867,1000,1000,0,20260921
six_workloads,Diem,Latency,822,60,0.9408323847823167,0.7377541805688627,0.04639631478165523,True,[],0.8817028507123641,0.9716198594208015,0.8817028507123641,0.9716198594208015,0.40591441095468656,1.0412886576620592,0.022925457597606218,0.08163090071700141,1000,1000,0,20260920
six_workloads,Diem,TPS,822,60,0.9137780642380151,0.8922365277166121,0.08418932735207336,True,[],0.8630560572954548,0.9371166390844338,0.8630560572954548,0.9371166390844338,0.46419362742263265,1.2772177068707178,0.057822511139437156,0.11372638071431262,1000,1000,0,20260919
six_workloads,Ethereum,Energy,792,60,0.8578818036484592,0.13454031301252792,0.022288182988139713,True,[],0.8195049974790348,0.8783761737860116,0.8195049974790348,0.8783761737860116,0.10725060120098451,0.15263565293154713,0.019641088812691606,0.025275679675491738,1000,1000,0,20260924
six_workloads,Ethereum,Latency,792,60,0.8751517610604053,0.6745301109076544,0.0962277632356127,True,[],0.8013423450773159,0.9244341538711112,0.8013423450773159,0.9244341538711112,0.4043885625079801,0.9185724842053729,0.046961747079072504,0.1652330776806726,1000,1000,0,20260923
six_workloads,Ethereum,TPS,792,60,0.9020265935711397,1.0969552662545679,0.11914553839211343,True,[],0.8517855979962253,0.935438080023359,0.8517855979962253,0.935438080023359,0.6947500237588818,1.4147489488950553,0.07497662109646386,0.16826233843923255,1000,1000,0,20260922
six_workloads,Quorum,Energy,326,31,0.685052724492204,0.04584806892918445,0.021078267234458103,True,[],0.5878076789956114,0.7363507994024089,0.5878076789956114,0.7363507994024089,0.02990469670397357,0.055235391372664686,0.017773633359633743,0.02457685068250962,1000,1000,0,20260927
six_workloads,Quorum,Latency,326,31,0.6793147137676983,1.1820443674024168,0.5580097539729587,True,[],0.0,0.8103614366997495,0.0,0.8103614366997495,0.0,1.4835250782711238,0.33219247645985395,0.8343070017950532,1000,1000,0,20260926
six_workloads,Quorum,TPS,320,31,0.8434765483275668,3.3223181962278074,0.6165206521257743,True,[],0.7648322005207667,0.8898429449285932,0.7648322005207667,0.8898429449285932,2.479288341575976,3.9825319158873334,0.37562786075709453,0.922421731041377,1000,1000,0,20260925
six_workloads,Solana,Energy,398,40,0.854946504365688,0.11888529097937552,0.020170533417006208,True,[],0.8075324420746963,0.8819581941616825,0.8075324420746963,0.8819581941616825,0.0852689736619056,0.14630431261587537,0.016826707300900908,0.023506613174037915,1000,1000,0,20260930
six_workloads,Solana,Latency,398,40,0.7205530428975505,0.14563771544643997,0.05648163840541378,True,[],0.0,0.8512685806996458,0.0,0.8512685806996458,0.0,0.2664035803435915,0.03489417051075877,0.08000032494119977,1000,1000,0,20260929
six_workloads,Solana,TPS,397,40,0.8517406725578311,2.597288877624784,0.45210040400357987,True,[],0.7161573498233185,0.9256189310773394,0.7161573498233185,0.9256189310773394,1.411756733528573,4.486830816502951,0.29470124587543584,0.6410925078669004,1000,1000,0,20260928
